sku,produto,tipo,mlb_codigo,fisico_atual,full_magazine_qtd,a_caminho_magazine,full_pegleve_qtd,a_caminho_pegleve,custo_unitario,total_reais,estoque_geral
WMS-0001,Roteador Wi-Fi Pro Preto,SKU,"MLB8986950095,MLB9895649328,MLB6144594354,MLB1610900200",0.0,4,0,0,0,,,4.0
WMS-0002,Luminária LED USB S2 Vermelho,SKU,,3.0,0,0,0,0,100.0,300.0,3.0
WMS-0003,Película de Vidro Lite Branco,SKU,,5.0,0,0,0,0,32.0,160.0,5.0
WMS-0004,Hub USB Air Branco,SKU,,6.0,0,0,0,0,189.0,1134.0,6.0
WMS-0005,Microfone Lapela V7 Preto,SKU,MLB1256143439,51.0,16,0,0,0,0.0,0.0,67.0
WMS-0006,Fone de Ouvido Bluetooth X300 Vermelho,SKU,,1.0,0,0,0,0,87.0,87.0,1.0
WMS-0007,Película de Vidro Neo Preto,SKU,"MLB8699281063,MLB9251459094",0.0,38,0,0,0,85.0,3230.0,38.0
WMS-0008,Webcam HD Plus Verde,SKU,"MLB2886149718,MLB7614170462",9.0,0,0,0,0,180.0,1620.0,9.0
WMS-0009,Película de Vidro Z1 Cinza,SKU,MLB2880160025,0.0,11,0,0,0,0.0,0.0,4.0
WMS-0010,Fone com Fio X100 Azul,SKU,,92.0,0,0,0,0,240.0,22080.0,92.0
WMS-0011,Ventilador USB V7 Rosa,SKU,,2.0,0,0,0,0,550.0,1100.0,2.0
WMS-0012,Capa Protetora Lite Vermelho,SKU,MLB3568547910,174.0,130,21,0,0,0.0,0.0,304.0
WMS-0013,Mini Projetor T10 Branco,SKU,MLB9115009532,13.0,18,0,0,0,0.0,0.0,31.0
WMS-0014,Cabo USB-C V5 Branco,SKU,"MLB8449766493,MLB7887897660",17.0,0,0,0,0,170.0,2890.0,17.0
WMS-0015,Teclado Sem Fio T20 Cinza,SKU,,30.0,0,0,0,0,0.0,0.0,30.0
WMS-0016,Fone com Fio X200,SKU,"MLB1111088881,MLB8822944679,MLB3474961963,MLB6047405755",368.0,125,112,0,0,60.0,29580.0,493.0
WMS-0017,Webcam HD Pro Verde,SKU,"MLB2194673401,MLB8792122716",117.0,32,0,0,0,38.0,5662.0,149.0
WMS-0018,Cabo USB-C Air Cinza,SKU,"MLB5162060546,MLB7313646580,MLB7048809022",65.0,20,0,0,0,83.0,7055.0,85.0
WMS-0019,Carregador Veicular Mini Rosa,SKU,,39.0,0,0,0,0,23.0,897.0,39.0
WMS-0020,Microfone Lapela Plus Branco,SKU,"MLB5985704790,MLB7422990551",0.0,14,2,0,0,0.0,0.0,4.0
WMS-0021,Carregador Turbo S1 Cinza,SKU,"MLB5452580287,MLB5673181221",0.0,23,0,0,0,55.0,165.0,3.0
WMS-0022,Cabo USB-C S1 Branco,SKU,MLB6379012098,15.0,20,0,0,0,0.0,0.0,35.0
WMS-0023,Smartwatch S2,SKU,"MLB8613035386,MLB9594878379",0.0,10,0,0,0,75.0,750.0,10.0
WMS-0024,Roteador Wi-Fi T20 Azul,SKU,"MLB7279140605,MLB1232804774",0.0,1,0,0,0,3720.0,-33480.0,-9.0
WMS-0025,Teclado Sem Fio T20 Vermelho,SKU,"MLB7521647547,MLB1221670908,MLB6532043071",0.0,37,0,0,0,0.0,0.0,15.0
WMS-0026,Hub USB S2 Branco,SKU,MLB3081821325,0.0,49,8,0,0,0.0,0.0,39.0
